scientificName,decimalLatitude,decimalLongitude,eventDate,datasetKey
"Emberiza schoeniclus (Linnaeus, 1758)",52.778963,-2.327327,2024-06-17T09:54,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Dendrocopos major (Linnaeus, 1758)",52.778963,-2.327327,2024-06-17T10:00,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Anas platyrhynchos Linnaeus, 1758",52.869666,-2.608488,2024-07-02T12:06:22,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Fulica atra Linnaeus, 1758",52.869601,-2.608372,2024-07-02T13:54:04,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Aythya fuligula (Linnaeus, 1758)",52.869545,-2.608396,2024-07-02T17:36:01,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Gallinula chloropus (Linnaeus, 1758)",52.708585,-2.205005,2024-07-08T16:52:27,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Cygnus olor (J.F.Gmelin, 1789)",52.715817,-2.217995,2024-07-08T17:36:21,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Gallinula chloropus (Linnaeus, 1758)",52.771362,-2.380061,2024-07-12T13:26:28,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Delichon urbicum (Linnaeus, 1758)",52.712953,-2.213039,2024-07-19T15:58:24,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Pica pica (Linnaeus, 1758)",52.678081,-2.419147,2024-07-22T10:32,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Motacilla alba Linnaeus, 1758",52.861084,-2.418592,2023-01-18T10:48:54Z,6ff8b3b0-ef0f-4f79-a310-5a5615c6aa0b
"Periparus ater (Linnaeus, 1758)",52.666718,-2.373745,2023-01-26T10:48:18Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
"Alopochen aegyptiaca (Linnaeus, 1766)",52.786674,-2.433213,2023-01-18T15:43Z,50c9509d-22c7-4a22-a47d-8c48425ef4a7
